Id,lon,lat
5429382380,4.7155,50.8797
5429986370,4.7230,50.8501
5430009726,4.7227,50.8450
5818501904,4.6364,50.9776
5951114979,4.9518,50.7528
5976432702,4.6443,50.8977
5998577697,4.9588,50.8004
6071125405,5.1116,50.8943
6205774424,5.0553,50.9853
6205788720,5.0527,50.9858
6205788721,5.0533,50.9815
6255604005,4.9846,51.0019
6534854833,4.9763,51.0327
6608940621,4.6768,50.9062
6609000968,4.6232,50.9038
6656013178,5.1517,50.8126
6656027592,5.1517,50.8126
6738290327,4.8367,51.0052
6875082693,4.6546,50.8224
7031052702,4.9015,50.7735
7136183442,4.6786,50.8643
7136183443,4.6782,50.8642
7175433577,4.5740,50.9818
7391632184,4.9466,50.9650
7408062533,4.6301,50.8635
7497435592,4.8538,50.9085
7504401655,4.6393,50.9628
7531879210,4.7133,50.8639
7531879211,4.7133,50.8639
7600123334,4.9561,50.7997
7764385479,4.7018,50.8605
7968246026,4.5390,50.8861
7980002846,4.5463,50.8837
7992636696,4.7047,50.8725
8107782494,4.7007,50.9030
8196619376,5.0145,50.9523
8247215276,4.7673,50.8958
8316477771,4.8879,50.7735
8356118334,4.5287,50.9802
8420030163,4.8420,50.8816
8445909765,4.7018,50.8239
8460297111,4.7192,50.8851
8461635880,4.5437,50.9815
8513159466,5.0390,50.9883
8567011790,4.9166,51.0291
8664302342,4.6544,50.8220
8668284717,4.7309,50.8745
8752795952,4.7229,50.8497
8794571943,4.9538,50.8006
8880583119,5.0888,50.7644
8880775616,4.8422,50.9902
8891830146,4.8836,50.8716
8980658186,4.7052,50.8821
8987975469,4.6926,50.8638
9062294954,4.9576,50.8026
9072802411,4.6986,50.8614
9164975215,4.7123,50.8765
9193527385,4.9800,50.9823
9248725371,5.0521,50.9925
9259872899,4.7077,50.8994
9264072495,4.9980,51.0215
9277368916,4.7567,50.9215
9310194338,5.0442,50.9861
9336487584,4.8931,50.9759
9358403242,4.5426,50.8847
9386071610,4.9981,50.9520
9419366608,4.4850,50.7936
9444231067,4.5451,50.8686
9444231068,4.5453,50.8700
9480898806,4.6457,50.9435
9510519301,4.9583,50.9787
9520525416,5.0820,50.7493
9520536517,5.0819,50.7493
9568665282,4.8388,50.9880
9579359201,5.0178,51.0028
9625865581,4.7675,50.8954
9632900971,4.5840,50.9619
9633830059,4.9918,50.9975
9674232034,4.9588,50.9782
9680130462,4.6888,50.8730
9700982288,4.7289,50.8315
9700999305,4.6510,50.8001
9701004602,4.6530,50.8234
9701006765,4.6516,50.8013
9702447235,4.9765,50.9451
9707636079,4.7013,50.8237
9710642129,4.7164,50.8484
9711028116,4.6986,50.8637
9713623278,4.6938,50.8647
9717222249,4.7175,50.8504
9718256007,4.7174,50.8504
9729557312,4.7059,50.8657
9734388322,4.5408,50.8375
9779866716,4.7071,50.8690
9779884717,4.7073,50.8691
9792312914,5.0032,50.9143
9796635427,4.6233,50.8180
9801971845,4.8721,50.9045
9803915871,4.8721,50.9046
9812032692,4.7075,50.8992
9821896293,4.7027,50.8792
9855669266,4.8417,50.9604
9862592714,4.7424,50.8669
9907830940,4.7019,50.8702
9907830941,4.7019,50.8702
9926849938,4.5145,50.8245
9926933614,4.5842,50.9619
9926997076,4.6962,50.8708
9937093800,4.7853,50.9875
9937677119,4.8377,50.9831
9937677121,4.8282,50.9851
9966768391,4.7870,50.9853
9969924651,5.0849,50.7525
10120577918,4.8721,50.9046
10141248076,4.4823,50.7939
10218754899,4.9324,50.8154
10238786545,4.9445,50.8030
10238786546,4.9445,50.8030
10261838095,4.7894,50.9874
10288463015,4.5836,50.7889
10288534809,4.6165,50.7490
10288534810,4.6175,50.7514
10301185488,4.6299,50.9012
10552718152,4.5789,50.9649
10613264866,4.7869,50.8510
10616157132,4.6335,50.8635
489957730,4.8143,50.9831
970425830,4.7148,50.8739
1033451569,5.0823,50.7534
1085807742,4.7205,50.8903
